t,S,E,I,R,V
143,0.0006962843951422555,33.19177298225899,166.75231939275756,109.37575617654545,2619.2227628313235
144,0.0006884500943869615,32.22333789035862,163.55043471556235,108.42740767221812,2620.3026269746547
145,0.0006811203693752975,31.287088344885042,160.40468759323682,107.47768762978566,2621.2210667341506
146,0.0006739895970732206,30.38195495156237,157.31434017196358,106.52692652921893,2621.981308374343
147,0.0006659101929986543,29.50690470953656,154.27865381847852,105.57544516984933,2622.586532468574
148,0.0006543112540640905,28.660940411226736,151.29688971353502,104.62355483217755,2623.0398740000524
149,0.000650581549156835,27.843084115835055,148.36830941417278,103.67155744011197,2623.344422491463
150,0.0006401590635266026,27.052415958663083,145.49217538049572,102.7197457234557,2623.503222161425
151,0.0006335218113914044,26.288022088635962,142.66775147989426,101.76840338046942,2623.5192721062667
152,0.0006277046548595382,25.549032122396795,139.89430345565486,100.81780524034801,2623.395526505531
153,0.000620214756197443,24.834604229917005,137.17109937241867,99.86821742545995,2623.1348948498107
154,0.0006114778007609853,24.14392172342745,134.49741003457694,98.91989751320519,2622.7402421894617
155,0.0006045016988127901,23.476192461147882,131.87250937943622,97.9730946973574,2622.214389402912
156,0.0006001981996952005,22.83065262441358,129.29567484613995,97.02804994876504,2621.5601134832496
157,0.0005899928215481385,22.20657323662388,126.76618772152281,96.08499617529287,2620.780147841907
158,0.0005873600192647956,21.60322778311163,124.28333346688345,95.1441583808932,2619.877182628236
159,0.0005808891117981264,21.01993833394255,121.84640201814068,94.20575382370446,2618.8538650639102
160,0.0005733888399832496,20.456035648937604,119.45468807220261,93.26999217308018,2617.712799791039
161,0.0005697656277122755,19.910870538883565,117.10749135049753,92.33707566545947,2616.456549233028
162,0.0005637223635818121,19.383826431555224,114.80411684421041,91.40719925899496,2615.0876339671863
163,0.0005587518335916159,18.87429766517245,112.54387504444836,90.48055078686137,2613.608533108158
164,0.0005509626690569711,18.381705975641005,110.32608215309831,89.55731110917348,2612.021684701325
165,0.0005470664144434847,17.905481843133447,108.15006028018566,88.63765426344689,2610.329486125294
166,0.0005415765485485989,17.445086651576922,106.01513762330188,87.72174761354113,2608.534294502719
167,0.0005390240377113778,16.999989849957544,103.92064863557563,86.8097519970291,2606.638427118661
168,0.0005303721027092868,16.56969193811384,101.86593417679497,85.90182187094166,2604.6441618457593
169,0.0005280196315160637,16.15368888002265,99.85034165520261,84.99810545584079,2602.5537375755434
170,0.000522680385127791,15.751514665680924,97.8732251516686,84.09874487817876,2600.3693546552176
171,0.0005155896068657685,15.362708559367503,95.93394553679816,83.20387631090578,2598.093175329279
172,0.0005136104467401321,14.986819468560101,94.03187057423872,82.31363011228972,2595.7273241853854
173,0.000507318715232023,14.623427353004201,92.16637501212207,81.42813096291972,2593.2738886039187
174,0.0005033710512965685,14.272110363842028,90.33684066759523,80.54749800086437,2590.734919210665
175,0.0005001977959517395,13.932468677887444,88.542656498006,79.67184495496089,2588.112430332168
176,0.0004974923725648657,13.604114549048697,86.78321866488307,78.80128027621521,2585.4084004531987
177,0.0004946711159643923,13.28667340523207,85.05793058837521,77.93590726729396,2582.6247726759257
178,0.000487540661811159,12.979786752521996,83.36620299318201,77.0758242100938,2579.7634551803544
179,0.0004834649341681939,12.68309659291181,81.70745394760146,76.2211244913757,2576.8263216855826
180,0.0004797759146955547,12.396266614210347,80.08110889282221,75.37189672645391,2573.8152119115316
181,0.0004762427824090275,12.118969332861715,78.48660066706975,74.5282248809325,2570.7319320407473
182,0.00047221668300507797,11.85088857492156,76.9233695220374,73.6901883904836,2567.5782551799384
183,0.00046842708782287847,11.591717317614856,75.39086313315214,72.85786227866436,2564.355921820919
184,0.000466047858468573,11.341158273377392,73.88853660358747,72.0313172727718,2561.0666403006417
185,0.0004633594893499919,11.098926889482465,72.41585246238293,71.21061991773604,2557.7120872600362
186,0.00046108557619159327,10.864745684193812,70.97228065761183,70.39583268805382,2554.2939081013583
187,0.00045507944787447557,10.63835124433903,69.55729854369555,69.58701409776751,2550.8137174438157
188,0.0004525939099943587,10.41947764896588,68.17039086518483,68.78421880849427,2547.273099577199
189,0.00044847311866283836,10.20787998325509,66.81104973374494,67.98749773551322,2543.673608913317
190,0.0004477434837644686,10.003311460653864,65.47877460341161,67.1968981519192,2540.0167704349956
191,0.0004446210723909523,9.805544140404919,64.17307223939933,66.41246379085217,2536.3040801424313
192,0.0004410318602305316,9.61435013924552,62.89345668527203,65.63423494581527,2532.5370054967707
193,0.00043939712158836016,9.429508588252075,61.639449225135806,64.86224856909018,2528.7169858606553
194,0.0004354220086009443,9.250812595060273,60.41057834250367,64.09653836826764,2524.845432935627
195,0.00043303769053423623,9.078054059640548,59.20637967721015,63.33713490090339,2520.9237311962247
196,0.00043252044854515787,8.911035322568962,58.02639597796908,62.584065667316935,2516.9532383206174
197,0.00042697347397505206,8.749572457889863,56.87017705265916,61.83735520154833,2512.9352856176624
198,0.00042493387016526613,8.593472446912905,55.737279717424286,61.09702516048983,2508.871178450261
199,0.0004222493109774893,8.442561092248523,54.62726774075993,60.36309441121009,2504.7621966548736
200,0.00041962313459886595,8.2966652680279,53.53971178779196,59.63557911648874,2500.6095949571454
201,0.0004198265805119943,8.155615510816865,52.47418936145861,58.914492818580705,2496.414603383484
202,0.00041701548789716924,8.019256513010346,51.43028474142268,58.199846521228686,2492.17842766856
203,0.0004154247191242392,7.887428243334815,50.40758892275252,57.491648769944455,2487.9022496586067
204,0.00041522641000854896,7.759979911318029,49.40569955134173,56.78990573057898,2483.587227710482
205,0.0004093825679483442,7.636772942756795,48.424220858447555,56.094621266201784,2479.234497086399
206,0.0004094711138697247,7.517654986017398,47.46276359534873,55.40579701231118,2474.8451703442915
207,0.00040571330440423796,7.4024997257734135,46.520944963514424,54.723432450396245,2470.420337723755
208,0.00040375491049590793,7.291169944500723,45.59838854752049,54.0475249798727,2465.961067527506
209,0.0004036917463299407,7.183538347669045,44.69472424411327,53.37806998841421,2461.468406498341
210,0.00040142023599456866,7.079486067774927,43.80958819152274,52.715060920701816,2456.9433801915607
211,0.00039799556722771586,6.97889316523084,42.94262269839501,52.05848934561338,2452.386993342797
212,0.00039707666600026314,6.881641047690674,42.093476171465085,51.40834502187572,2447.8002302312675
213,0.0003944008731320076,6.787622864568097,41.26180304226794,50.76461596220249,2443.1840550384127
214,0.00039403638735007666,6.696727126855478,40.447263694651824,50.127288495939794,2438.539412201896
215,0.0003920743154909227,6.608853893130052,39.649524390303306,49.49634733024341,2433.8672267649677
216,0.00039309079298543574,6.523898187989715,38.868257195515824,48.87177560980927,2429.1684047212043
217,0.0003912175918564476,6.441768817642232,38.103139905998695,48.25355497518133,2424.4438333545736
218,0.0003894262681751622,6.362368973940187,37.35385597332145,47.64166561965886,2419.6943815748605
219,0.00038727597629202907,6.285608379940921,36.62009442972563,47.036086344826806,2414.9209002484836
220,0.0003860027475336954,6.211398096738187,35.90154981370035,46.43679461473119,2410.1242225246388
221,0.00038610436968222967,6.139652838494095,35.197922095196844,45.84376660872347,2405.3051641568377
222,0.0003829081235987163,6.070295308036133,34.5089166008031,45.256977272995485,2400.464523819859
223,0.00038181244013076103,6.003240860833824,33.83424393994192,44.67640037082873,2395.6030834220683
224,0.00038290216920150666,5.938412799910256,33.17361992978908,44.10200853157952,2390.7216084132124
225,0.0003782081336250789,5.875745028879848,32.526765520990615,43.53377329842336,2385.8208480876087
226,0.0003789477001814783,5.815154725492282,31.893406725011328,42.97166517488015,2380.9015358828783
227,0.00037793227093032867,5.756579854074058,31.273274538764834,42.41565367014296,2375.9643896741154
228,0.0003784680425419719,5.699950184339572,30.666104872651083,41.86570734323182,2371.0101120636095
229,0.0003775335335580306,5.64520403817832,30.071638476841393,41.321793845994954,2366.0393906661243
230,0.0003769014209917351,5.592277093385181,29.48962086924971,40.783879964978745,2361.0528983897652
231,0.0003748237094473259,5.541110627408596,28.919802263039735,40.25193166218798,2356.051293712452
232,0.0003738934966891329,5.491643586136139,28.361937495333162,39.72591411475794,2351.035220954081
233,0.00037261572464494607,5.443820946735189,27.815785955661408,39.20579175355903,2346.005310544322
234,0.00037194828492103597,5.397587111675758,27.281111515614977,38.691528300755195,2340.962179286197
235,0.00037153896106313113,5.352889609532325,26.757682458561483,38.18308680633656,2335.9064306153896
236,0.0003715387457411627,5.309677221231771,26.245271410179043,37.68042968364688,2330.838654855368
237,0.00037073618496897637,5.267901787446792,25.74365526940509,37.18351874392595,2325.759429468352
238,0.00036933739695596736,5.227515372043967,25.252615140197005,36.692315229886965,2320.6693193021692
239,0.00036806794443220304,5.188471105719548,24.771936263745804,36.20677984834891,2315.568876833031
240,0.00036909350225811083,5.150722212570331,24.301407951408116,35.72687280194277,2310.458642404276
241,0.0003687577115676049,5.114229221596857,23.84082351792281,35.25255381991154,2305.33914446113
242,0.0003677475575502596,5.078949751594929,23.38998021607445,34.783782188022734,2300.2108997815285
243,0.0003658658937446102,5.0448436912294286,22.948679171343272,34.32051677761232,2295.0744137030206
244,0.0003672009575280119,5.011867983234605,22.51672531770962,33.86271607377835,2289.9301803458384
245,0.000365334023825896,4.979991372897336,22.093927333266862,33.41033820274297,2284.77868283214
246,0.00036556540855767173,4.949172138019043,21.680097578193788,32.9633409584,2279.620393501502
247,0.0003649319244330759,4.9193780307381445,21.275052031561007,32.52168182806711,2274.455774122684
248,0.00036639610458897366,4.890572047444901,20.878610230383646,32.085318017458874,2269.2852761017284
249,0.00036433149933566013,4.86272690523707,20.49059520812657,31.65420647489866,2264.1093406864243
250,0.00036713566154201733,4.835802390330717,20.11083343559339,31.228303914785776,2258.928399167205
251,0.00036377359404875345,4.809778779746411,19.739154760067162,30.807566840335305,2253.7428730744973
252,0.0003631615831078086,4.784617420587534,19.37539234842371,30.39195156560632,2248.5531743725983
253,0.00036284702024533727,4.760292017632213,19.01938262785725,29.98141423683518,2243.359705650107
254,0.0003656549358069346,4.736771953217153,18.67096522947932,29.575910853089546,2238.1628603069653
255,0.0003643077574782459,4.714037636405453,18.329982931250154,29.17539728625892,2232.963022738147
256,0.0003630986992318597,4.692058797941575,17.996281603298158,28.779829300397118,2227.7605685140525
257,0.0003629219210482524,4.670809431075341,17.66971015237077,28.389162570431633,2222.555864557657
258,0.0003607097525011538,4.650268325671106,17.350120467672987,28.00335270025511,2217.3492693184344
259,0.0003619046942626408,4.63040656791795,17.03736736803006,27.622355240213192,2212.1411329431344
260,0.0003621575208599273,4.6112058162179705,16.731308548441064,27.246125704003422,2206.931797443453
261,0.0003632330265880492,4.592642368813814,16.431804528887497,26.87461958499908,2201.7215968606056
262,0.00036204596043060746,4.57469810327382,16.138718602701218,26.50779237201213,2196.5108574269134
263,0.00036115883054817064,4.557349953994401,15.851916786619618,26.145599564508405,2191.299897724383
264,0.00036221135462023387,4.540576459614232,15.571267770826838,25.787996687289024,2186.0890288403725
265,0.00036294565601320805,4.5243607153024845,15.29664286988826,25.434939304650637,2180.878554520356
266,0.00036259904757152513,4.50868495784352,15.027915974784381,25.08638303403774,2175.668771317855
267,0.0003616185057280759,4.49353083000909,14.764963505421212,24.742283559199503,2170.45996874157
